service_id,date,exception_type
1,20130405,1
1,20130406,1
1,20130412,1
1,20130413,1
1,20130419,1
1,20130420,1
1,20130426,1
1,20130427,1
1,20130503,1
1,20130504,1
1,20130510,1
1,20130511,1
1,20130517,1
1,20130518,1
1,20130524,1
1,20130525,1
1,20130526,1
1,20130531,1
1,20130601,1
1,20130607,1
1,20130608,1
1,20130614,1
1,20130615,1
1,20130621,1
1,20130622,1
1,20130628,1
1,20130629,1
1,20130703,1
1,20130705,1
1,20130706,1
1,20130712,1
1,20130713,1
1,20130719,1
1,20130720,1
1,20130726,1
1,20130727,1
1,20130802,1
1,20130803,1
1,20130809,1
1,20130810,1
1,20130816,1
1,20130817,1
1,20130823,1
1,20130824,1
1,20130830,1
1,20130831,1
1,20130901,1
1,20130906,1
1,20130907,1
1,20130913,1
1,20130914,1
1,20130920,1
1,20130921,1
1,20130927,1
1,20130928,1
2,20130404,1
2,20130405,1
2,20130408,1
2,20130409,1
2,20130410,1
2,20130411,1
2,20130412,1
2,20130415,1
2,20130416,1
2,20130417,1
2,20130418,1
2,20130419,1
2,20130422,1
2,20130423,1
2,20130424,1
2,20130425,1
2,20130426,1
2,20130429,1
2,20130430,1
2,20130501,1
2,20130502,1
2,20130503,1
2,20130506,1
2,20130507,1
2,20130508,1
2,20130509,1
2,20130510,1
2,20130513,1
2,20130514,1
2,20130515,1
2,20130516,1
2,20130517,1
2,20130520,1
2,20130521,1
2,20130522,1
2,20130523,1
2,20130524,1
2,20130528,1
2,20130529,1
2,20130530,1
2,20130531,1
2,20130603,1
2,20130604,1
2,20130605,1
2,20130606,1
2,20130607,1
2,20130610,1
2,20130611,1
2,20130612,1
2,20130613,1
2,20130614,1
2,20130617,1
2,20130618,1
2,20130619,1
2,20130620,1
2,20130621,1
2,20130624,1
2,20130625,1
2,20130626,1
2,20130627,1
2,20130628,1
2,20130701,1
2,20130702,1
2,20130703,1
2,20130705,1
2,20130708,1
2,20130709,1
2,20130710,1
2,20130711,1
2,20130712,1
2,20130715,1
2,20130716,1
2,20130717,1
2,20130718,1
2,20130719,1
2,20130722,1
2,20130723,1
2,20130724,1
2,20130725,1
2,20130726,1
2,20130729,1
2,20130730,1
2,20130731,1
2,20130801,1
2,20130802,1
2,20130805,1
2,20130806,1
2,20130807,1
2,20130808,1
2,20130809,1
2,20130812,1
2,20130813,1
2,20130814,1
2,20130815,1
2,20130816,1
2,20130819,1
2,20130820,1
2,20130821,1
2,20130822,1
2,20130823,1
2,20130826,1
2,20130827,1
2,20130828,1
2,20130829,1
2,20130830,1
2,20130903,1
2,20130904,1
2,20130905,1
2,20130906,1
2,20130909,1
2,20130910,1
2,20130911,1
2,20130912,1
2,20130913,1
2,20130916,1
2,20130917,1
2,20130918,1
2,20130919,1
2,20130920,1
2,20130923,1
2,20130924,1
2,20130925,1
2,20130926,1
2,20130927,1
2,20130930,1
3,20130406,1
3,20130407,1
3,20130413,1
3,20130414,1
3,20130420,1
3,20130421,1
3,20130427,1
3,20130428,1
3,20130504,1
3,20130505,1
3,20130511,1
3,20130512,1
3,20130518,1
3,20130519,1
3,20130525,1
3,20130526,1
3,20130527,1
3,20130601,1
3,20130602,1
3,20130608,1
3,20130609,1
3,20130615,1
3,20130616,1
3,20130622,1
3,20130623,1
3,20130629,1
3,20130630,1
3,20130704,1
3,20130706,1
3,20130707,1
3,20130713,1
3,20130714,1
3,20130720,1
3,20130721,1
3,20130727,1
3,20130728,1
3,20130803,1
3,20130804,1
3,20130810,1
3,20130811,1
3,20130817,1
3,20130818,1
3,20130824,1
3,20130825,1
3,20130831,1
3,20130901,1
3,20130902,1
3,20130907,1
3,20130908,1
3,20130914,1
3,20130915,1
3,20130921,1
3,20130922,1
3,20130928,1
3,20130929,1
4,20130404,1
4,20130407,1
4,20130408,1
4,20130409,1
4,20130410,1
4,20130411,1
4,20130414,1
4,20130415,1
4,20130416,1
4,20130417,1
4,20130418,1
4,20130421,1
4,20130422,1
4,20130423,1
4,20130424,1
4,20130425,1
4,20130428,1
4,20130429,1
4,20130430,1
4,20130501,1
4,20130502,1
4,20130505,1
4,20130506,1
4,20130507,1
4,20130508,1
4,20130509,1
4,20130512,1
4,20130513,1
4,20130514,1
4,20130515,1
4,20130516,1
4,20130519,1
4,20130520,1
4,20130521,1
4,20130522,1
4,20130523,1
4,20130527,1
4,20130528,1
4,20130529,1
4,20130530,1
4,20130602,1
4,20130603,1
4,20130604,1
4,20130605,1
4,20130606,1
4,20130609,1
4,20130610,1
4,20130611,1
4,20130612,1
4,20130613,1
4,20130616,1
4,20130617,1
4,20130618,1
4,20130619,1
4,20130620,1
4,20130623,1
4,20130624,1
4,20130625,1
4,20130626,1
4,20130627,1
4,20130630,1
4,20130701,1
4,20130702,1
4,20130704,1
4,20130707,1
4,20130708,1
4,20130709,1
4,20130710,1
4,20130711,1
4,20130714,1
4,20130715,1
4,20130716,1
4,20130717,1
4,20130718,1
4,20130721,1
4,20130722,1
4,20130723,1
4,20130724,1
4,20130725,1
4,20130728,1
4,20130729,1
4,20130730,1
4,20130731,1
4,20130801,1
4,20130804,1
4,20130805,1
4,20130806,1
4,20130807,1
4,20130808,1
4,20130811,1
4,20130812,1
4,20130813,1
4,20130814,1
4,20130815,1
4,20130818,1
4,20130819,1
4,20130820,1
4,20130821,1
4,20130822,1
4,20130825,1
4,20130826,1
4,20130827,1
4,20130828,1
4,20130829,1
4,20130902,1
4,20130903,1
4,20130904,1
4,20130905,1
4,20130908,1
4,20130909,1
4,20130910,1
4,20130911,1
4,20130912,1
4,20130915,1
4,20130916,1
4,20130917,1
4,20130918,1
4,20130919,1
4,20130922,1
4,20130923,1
4,20130924,1
4,20130925,1
4,20130926,1
4,20130929,1
4,20130930,1
5,20130406,1
5,20130413,1
5,20130420,1
5,20130427,1
5,20130504,1
5,20130511,1
5,20130518,1
5,20130525,1
5,20130601,1
5,20130608,1
5,20130615,1
5,20130622,1
5,20130629,1
5,20130706,1
5,20130713,1
5,20130720,1
5,20130727,1
5,20130803,1
5,20130810,1
5,20130817,1
5,20130824,1
5,20130831,1
5,20130907,1
5,20130914,1
5,20130921,1
5,20130928,1
6,20130407,1
6,20130414,1
6,20130421,1
6,20130428,1
6,20130505,1
6,20130512,1
6,20130519,1
6,20130526,1
6,20130602,1
6,20130609,1
6,20130616,1
6,20130623,1
6,20130630,1
6,20130707,1
6,20130714,1
6,20130721,1
6,20130728,1
6,20130804,1
6,20130811,1
6,20130818,1
6,20130825,1
6,20130901,1
6,20130908,1
6,20130915,1
6,20130922,1
6,20130929,1
7,20130404,1
7,20130405,1
8,20130408,1
8,20130409,1
8,20130410,1
8,20130411,1
8,20130412,1
8,20130415,1
8,20130416,1
8,20130417,1
8,20130418,1
8,20130419,1
8,20130422,1
8,20130423,1
8,20130424,1
8,20130425,1
8,20130426,1
8,20130429,1
8,20130430,1
8,20130501,1
8,20130502,1
8,20130503,1
8,20130506,1
8,20130507,1
8,20130508,1
8,20130509,1
8,20130510,1
8,20130513,1
8,20130514,1
8,20130515,1
8,20130516,1
8,20130517,1
8,20130520,1
8,20130521,1
8,20130522,1
8,20130523,1
8,20130524,1
8,20130527,1
8,20130528,1
8,20130529,1
8,20130530,1
8,20130531,1
8,20130603,1
8,20130604,1
8,20130605,1
8,20130606,1
8,20130607,1
8,20130610,1
8,20130611,1
8,20130612,1
8,20130613,1
8,20130614,1
8,20130617,1
8,20130618,1
8,20130619,1
8,20130620,1
8,20130621,1
8,20130624,1
8,20130625,1
8,20130626,1
8,20130627,1
8,20130628,1
8,20130701,1
8,20130702,1
8,20130703,1
8,20130704,1
8,20130705,1
8,20130708,1
8,20130709,1
8,20130710,1
8,20130711,1
8,20130712,1
8,20130715,1
8,20130716,1
8,20130717,1
8,20130718,1
8,20130719,1
8,20130722,1
8,20130723,1
8,20130724,1
8,20130725,1
8,20130726,1
8,20130729,1
8,20130730,1
8,20130731,1
8,20130801,1
8,20130802,1
8,20130805,1
8,20130806,1
8,20130807,1
8,20130808,1
8,20130809,1
8,20130812,1
8,20130813,1
8,20130814,1
8,20130815,1
8,20130816,1
8,20130819,1
8,20130820,1
8,20130821,1
8,20130822,1
8,20130823,1
8,20130826,1
8,20130827,1
8,20130828,1
8,20130829,1
8,20130830,1
8,20130902,1
8,20130903,1
8,20130904,1
8,20130905,1
8,20130906,1
8,20130909,1
8,20130910,1
8,20130911,1
8,20130912,1
8,20130913,1
8,20130916,1
8,20130917,1
8,20130918,1
8,20130919,1
8,20130920,1
8,20130923,1
8,20130924,1
8,20130925,1
8,20130926,1
8,20130927,1
8,20130930,1
9,20130407,1
9,20130414,1
9,20130421,1
9,20130428,1
9,20130505,1
9,20130512,1
9,20130519,1
9,20130526,1
9,20130527,1
9,20130602,1
9,20130609,1
9,20130616,1
9,20130623,1
9,20130630,1
9,20130704,1
9,20130707,1
9,20130714,1
9,20130721,1
9,20130728,1
9,20130804,1
9,20130811,1
9,20130818,1
9,20130825,1
9,20130901,1
9,20130902,1
9,20130908,1
9,20130915,1
9,20130922,1
9,20130929,1
10,20130527,1
10,20130704,1
10,20130902,1
11,20130524,1
11,20130703,1
11,20130830,1
12,20130406,1
12,20130407,1
12,20130413,1
12,20130414,1
12,20130420,1
12,20130421,1
12,20130427,1
12,20130428,1
12,20130504,1
12,20130505,1
12,20130511,1
12,20130512,1
12,20130518,1
12,20130519,1
12,20130525,1
12,20130526,1
12,20130601,1
12,20130602,1
12,20130608,1
12,20130609,1
12,20130615,1
12,20130616,1
12,20130622,1
12,20130623,1
12,20130629,1
12,20130630,1
12,20130703,1
12,20130706,1
12,20130707,1
12,20130713,1
12,20130714,1
12,20130720,1
12,20130721,1
12,20130727,1
12,20130728,1
12,20130803,1
12,20130804,1
12,20130810,1
12,20130811,1
12,20130817,1
12,20130818,1
12,20130824,1
12,20130825,1
12,20130831,1
12,20130901,1
12,20130907,1
12,20130908,1
12,20130914,1
12,20130915,1
12,20130921,1
12,20130922,1
12,20130928,1
12,20130929,1
13,20130404,1
13,20130405,1
13,20130408,1
13,20130409,1
13,20130410,1
13,20130411,1
13,20130412,1
13,20130415,1
13,20130416,1
13,20130417,1
13,20130418,1
13,20130419,1
13,20130422,1
13,20130423,1
13,20130424,1
13,20130425,1
13,20130426,1
13,20130429,1
13,20130430,1
13,20130501,1
13,20130502,1
13,20130503,1
13,20130506,1
13,20130507,1
13,20130508,1
13,20130509,1
13,20130510,1
13,20130513,1
13,20130514,1
13,20130515,1
13,20130516,1
13,20130517,1
13,20130520,1
13,20130521,1
13,20130522,1
13,20130523,1
13,20130528,1
13,20130529,1
13,20130530,1
13,20130531,1
13,20130603,1
13,20130604,1
13,20130605,1
13,20130606,1
13,20130607,1
13,20130610,1
13,20130611,1
13,20130612,1
13,20130613,1
13,20130614,1
13,20130617,1
13,20130618,1
13,20130619,1
13,20130620,1
13,20130621,1
13,20130624,1
13,20130625,1
13,20130626,1
13,20130627,1
13,20130628,1
13,20130701,1
13,20130702,1
13,20130705,1
13,20130708,1
13,20130709,1
13,20130710,1
13,20130711,1
13,20130712,1
13,20130715,1
13,20130716,1
13,20130717,1
13,20130718,1
13,20130719,1
13,20130722,1
13,20130723,1
13,20130724,1
13,20130725,1
13,20130726,1
13,20130729,1
13,20130730,1
13,20130731,1
13,20130801,1
13,20130802,1
13,20130805,1
13,20130806,1
13,20130807,1
13,20130808,1
13,20130809,1
13,20130812,1
13,20130813,1
13,20130814,1
13,20130815,1
13,20130816,1
13,20130819,1
13,20130820,1
13,20130821,1
13,20130822,1
13,20130823,1
13,20130826,1
13,20130827,1
13,20130828,1
13,20130829,1
13,20130903,1
13,20130904,1
13,20130905,1
13,20130906,1
13,20130909,1
13,20130910,1
13,20130911,1
13,20130912,1
13,20130913,1
13,20130916,1
13,20130917,1
13,20130918,1
13,20130919,1
13,20130920,1
13,20130923,1
13,20130924,1
13,20130925,1
13,20130926,1
13,20130927,1
13,20130930,1
14,20130404,1
14,20130405,1
14,20130408,1
14,20130409,1
14,20130410,1
14,20130411,1
14,20130412,1
14,20130415,1
14,20130416,1
14,20130417,1
14,20130418,1
14,20130419,1
14,20130422,1
14,20130423,1
14,20130424,1
14,20130425,1
14,20130426,1
14,20130429,1
14,20130430,1
14,20130501,1
14,20130502,1
14,20130503,1
14,20130506,1
14,20130507,1
14,20130508,1
14,20130509,1
14,20130510,1
14,20130513,1
14,20130514,1
14,20130515,1
14,20130516,1
14,20130517,1
14,20130520,1
14,20130521,1
14,20130522,1
14,20130523,1
14,20130524,1
14,20130527,1
14,20130528,1
