route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"30TH ST. PHL.",0,"4652",1
1,2,2,"30TH ST. PHL.",0,"4608",2
1,2,3,"30TH ST. PHL.",0,"4612",3
1,2,4,"30TH ST. PHL.",0,"4616",4
1,2,5,"30TH ST. PHL.",0,"4620",5
1,2,6,"30TH ST. PHL.",0,"4624",6
1,2,7,"30TH ST. PHL.",0,"4628",7
1,2,8,"30TH ST. PHL.",0,"4630",8
1,2,9,"30TH ST. PHL.",0,"4632",9
1,2,10,"30TH ST. PHL.",0,"4634",10
1,2,11,"30TH ST. PHL.",0,"4638",11
1,2,12,"30TH ST. PHL.",0,"4642",12
1,3,13,"30TH ST. PHL.",0,"4662",13
1,3,14,"30TH ST. PHL.",0,"4664",14
1,3,15,"30TH ST. PHL.",0,"4668",15
1,3,16,"30TH ST. PHL.",0,"4670",16
1,3,17,"30TH ST. PHL.",0,"4674",17
1,3,18,"30TH ST. PHL.",0,"4678",18
1,3,19,"30TH ST. PHL.",0,"4680",19
1,3,20,"30TH ST. PHL.",0,"4682",20
1,3,21,"30TH ST. PHL.",0,"4684",21
1,3,22,"30TH ST. PHL.",0,"4688",22
1,3,23,"30TH ST. PHL.",0,"4692",23
1,4,24,"30TH ST. PHL.",0,"4600",24
1,2,25,"ATLANTIC CITY",1,"4611",25
1,2,26,"ATLANTIC CITY",1,"4613",26
1,2,27,"ATLANTIC CITY",1,"4617",27
1,2,28,"ATLANTIC CITY",1,"4623",28
1,2,29,"ATLANTIC CITY",1,"4627",29
1,2,30,"ATLANTIC CITY",1,"4631",30
1,2,31,"ATLANTIC CITY",1,"4633",31
1,2,32,"ATLANTIC CITY",1,"4635",32
1,2,33,"ATLANTIC CITY",1,"4639",33
1,2,34,"ATLANTIC CITY",1,"4641",34
1,2,35,"ATLANTIC CITY",1,"4643",35
1,2,36,"ATLANTIC CITY",1,"4651",36
1,3,37,"ATLANTIC CITY",1,"4661",37
1,3,38,"ATLANTIC CITY",1,"4669",38
1,3,39,"ATLANTIC CITY",1,"4671",39
1,3,40,"ATLANTIC CITY",1,"4673",40
1,3,41,"ATLANTIC CITY",1,"4677",41
1,3,42,"ATLANTIC CITY",1,"4679",42
1,3,43,"ATLANTIC CITY",1,"4683",43
1,3,44,"ATLANTIC CITY",1,"4685",44
1,3,45,"ATLANTIC CITY",1,"4687",45
1,3,46,"ATLANTIC CITY",1,"4689",46
1,3,47,"ATLANTIC CITY",1,"4693",47
1,3,48,"ATLANTIC CITY",1,"4697",48
2,2,49,"HOBOKEN",0,"1002",49
2,2,50,"HOBOKEN",0,"1000",50
2,2,51,"HOBOKEN",0,"1006",51
2,2,52,"HOBOKEN",0,"1070",52
2,2,53,"HOBOKEN",0,"1074",53
2,2,54,"LAKE HOPATCONG",1,"1043",54
2,2,55,"DENVILLE",1,"1003",55
2,2,56,"DOVER",1,"1007",56
2,2,57,"LAKE HOPATCONG",1,"1011",57
2,2,58,"DOVER",1,"1001",58
2,2,59,"LAKE HOPATCONG",1,"1009",59
2,2,60,"MOUNT OLIVE",1,"1061",60
2,2,61,"HACKETTSTOWN",1,"1079",61
2,2,62,"HACKETTSTOWN",1,"1085",62
2,2,63,"HACKETTSTOWN",1,"1087",63
3,2,64,"NEW YORK PENN STATION",0,"6210",64
3,2,65,"NEW YORK PENN STATION",0,"6252",65
3,2,66,"NEW YORK PENN STATION",0,"6278",66
3,2,67,"NEW YORK PENN STATION",0,"6280",67
3,2,68,"HOBOKEN",0,"0212",68
3,2,69,"NEW YORK PENN STATION",0,"6204",69
3,2,70,"NEW YORK PENN STATION",0,"6214",70
3,2,71,"NEW YORK PENN STATION",0,"6248",71
3,2,72,"NEW YORK PENN STATION",0,"6202",72
3,2,73,"NEW YORK PENN STATION",0,"6206",73
3,2,74,"NEW YORK PENN STATION",0,"6222",74
3,2,75,"NEW YORK PENN STATION",0,"6226",75
3,2,76,"NEW YORK PENN STATION",0,"6230",76
3,2,77,"NEW YORK PENN STATION",0,"6242",77
3,2,78,"NEW YORK PENN STATION",0,"6258",78
3,2,79,"NEW YORK PENN STATION",0,"6264",79
3,2,80,"NEW YORK PENN STATION",0,"6270",80
3,2,81,"NEW YORK PENN STATION",0,"6274",81
3,2,82,"NEW YORK PENN STATION",0,"6216",82
3,2,83,"NEW YORK PENN STATION",0,"6234",83
3,2,84,"NEW YORK PENN STATION",0,"6238",84
3,2,85,"NEW YORK PENN STATION",0,"6200",85
3,3,86,"HOBOKEN",0,"0544",86
3,3,87,"HOBOKEN",0,"0510",87
3,3,88,"HOBOKEN",0,"0514",88
3,3,89,"HOBOKEN",0,"0518",89
3,3,90,"HOBOKEN",0,"0522",90
3,3,91,"HOBOKEN",0,"0526",91
3,3,92,"HOBOKEN",0,"0530",92
3,3,93,"HOBOKEN",0,"0534",93
3,3,94,"HOBOKEN",0,"0538",94
3,2,95,"MSU",1,"6209",95
3,2,96,"MSU",1,"6213",96
3,2,97,"MSU",1,"6273",97
3,2,98,"MSU",1,"6279",98
3,2,99,"MSU",1,"6227",99
3,2,100,"MSU",1,"6233",100
3,2,101,"MSU",1,"6263",101
3,2,102,"MSU",1,"6219",102
3,2,103,"MSU",1,"6237",103
3,2,104,"MSU",1,"6241",104
3,2,105,"MSU",1,"6245",105
3,2,106,"MSU",1,"6253",106
3,2,107,"MSU",1,"6283",107
3,2,108,"MSU",1,"6291",108
3,2,109,"MSU",1,"6293",109
3,2,110,"MSU",1,"6295",110
3,2,111,"MSU",1,"6297",111
3,2,112,"MSU",1,"6299",112
3,2,113,"MSU",1,"6201",113
3,2,114,"MSU",1,"6231",114
3,2,115,"MSU",1,"6251",115
3,2,116,"MSU",1,"6215",116
3,3,117,"BAY STREET",1,"0509",117
3,3,118,"BAY STREET",1,"0513",118
3,3,119,"BAY STREET",1,"0515",119
